Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Observation Status,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2010,13.5082167685541,2010,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2011,18.047853036844,2011,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2012,21.1949876792055,2012,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2013,22.2438572106859,2013,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2014,21.4603340500503,2014,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2015,16.8424536921792,2015,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2016,16.5545127518585,2016,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2017,11.97172277931,2017,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2018,10.4273900688183,2018,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2019,7.97222983771095,2019,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2020,7.65009174813949,2020,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2021,5.39391025321323,2021,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),8,Albania,2022,4.78957460572704,2022,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2009,21.1415508110567,2009,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2010,18.31,2010,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2011,14.3983059633084,2011,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2012,11.7263814541696,2012,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2013,10.5639712164989,2013,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2014,9.9349604753277,2014,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2015,9.76734535087824,2015,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2016,12.0891590616386,2016,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2017,12.9585022894491,2017,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2018,12.6974012595366,2018,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2019,14.7557610602629,2019,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),12,Algeria,2020,16.3638896305079,2020,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),24,Angola,2010,3.17305056414187,2010,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),24,Angola,2011,2.01496821504011,2011,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.5,10.5.1,FI_FSI_FSANL,Non-performing loans to total gross loans (%),24,Angola,2012,4.35011884491608,2012,,,,,IMF,,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
